CD_MUN,NOME_CLEAN,latitude,longitude
1400506,sao joao da balizaRR,0.6357800840647316,-59.8450199749341
1400605,sao luizRR,0.8844346761441175,-60.15183599987063
1400704,uiramutaRR,4.6854249499432905,-60.27933517152137
1500107,abaetetubaPA,-1.7302572723420493,-48.88306887591996
1500131,abel figueiredoPA,-4.957318689132724,-48.42460076774081
1500206,acaraPA,-2.035385965430784,-48.41145042016256
1500305,afuaPA,-0.26284105021103543,-50.72590506645382
1500347,agua azul do nortePA,-6.772978676606437,-50.4301550564553
1500404,alenquerPA,-0.6046827090634037,-55.03915549632457
1500503,almeirimPA,0.28447893622124854,-53.893585053718944
1500602,altamiraPA,-6.486171805709006,-53.88668321249472
1500701,anajasPA,-0.8271325487525077,-49.9613911726669
1500800,ananindeuaPA,-1.3340768578953144,-48.38354432668742
1500859,anapuPA,-3.997185121708105,-51.3012777354932
1500909,augusto correaPA,-1.1047124576174725,-46.5074156236778
1500958,aurora do paraPA,-2.231178571300404,-47.72635254558255
1501006,aveiroPA,-3.6672151007329488,-56.0162983565211
1501105,bagrePA,-2.3731431089328945,-50.1817669825938
1501204,baiaoPA,-3.129827240710866,-49.6989798602519
1501253,bannachPA,-7.486384401314646,-50.634416339161405
1501303,barcarenaPA,-1.4986179928198258,-48.63423094923131
1501402,belemPA,-1.2407186555541538,-48.45991077071476
1501451,belterraPA,-3.1911274514889043,-54.992849710605945
1501501,benevidesPA,-1.339617610894158,-48.27562032243051
1501576,bom jesus do tocantinsPA,-5.05426669917955,-48.76351445005969
1501600,bonitoPA,-1.3873373704970515,-47.30228049511101
1501709,bragancaPA,-1.1930864564728334,-46.76358126911983
1501725,brasil novoPA,-3.292106289037456,-52.68540476126748
1501758,brejo grande do araguaiaPA,-5.735506806840515,-48.43188898399919
1501782,breu brancoPA,-3.733484053750865,-49.37122009872789
1501808,brevesPA,-1.1209050409023038,-50.62814636587193
1501907,bujaruPA,-1.632969008042318,-48.08987703873519
1501956,cachoeira do piriaPA,-1.9886736565556569,-46.44321355794549
1502004,cachoeira do arariPA,-0.8694236167631433,-48.877241421472945
1502103,cametaPA,-2.253061762016818,-49.51357185465954
1502152,canaa dos carajasPA,-6.424205512082495,-50.08567399919154
1502202,capanemaPA,-1.1420838289749253,-47.117900920956565
1502301,capitao pocoPA,-2.0421650669577547,-47.23339596111927
1502400,castanhalPA,-1.2685148683733531,-47.87698077345739
1502509,chavesPA,-0.032400553372509085,-49.83789183631974
1502608,colaresPA,-0.9358459199923909,-48.273719096206676
1502707,conceicao do araguaiaPA,-8.182491117878028,-49.5127083942615
1502756,concordia do paraPA,-1.88172038340231,-47.97465720570959
1502764,cumaru do nortePA,-8.45817201286518,-51.22103709792486
1502772,curionopolisPA,-6.2289301916214255,-49.62461067379226
1502806,curralinhoPA,-1.58346226576996,-49.98803389548679
1502855,curuaPA,-1.8457428519085182,-55.11349123531498
1502905,curucaPA,-0.7427434469705405,-47.86388329995668
1502939,dom eliseuPA,-4.186576160094258,-47.89811163276614
1502954,eldorado do carajasPA,-6.069645319570917,-49.24543528614872
1503002,faroPA,-1.1591503902210567,-57.805907589702244
1503044,floresta do araguaiaPA,-7.548322817466277,-49.576030541202435
1503077,garrafao do nortePA,-2.1683058053536697,-47.075976786549965
1503093,goianesia do paraPA,-4.027193117296021,-49.00571835421043
1503101,gurupaPA,-1.1494382854989338,-51.55392149822891
1503200,igarape-acuPA,-1.1450184850937726,-47.5659877090523
1503309,igarape-miriPA,-2.062705658910977,-49.13074463976294
1503408,inhangapiPA,-1.464677078113492,-47.92266995020077
1503457,ipixuna do paraPA,-2.8057781622090583,-47.92154624984668
1503507,irituiaPA,-1.8115355642670055,-47.39985942793916
1503606,itaitubaPA,-5.871135292030899,-56.49671530338022
1503705,itupirangaPA,-5.114824257217532,-49.86970605836884
1503754,jacareacangaPA,-7.4452869234354555,-57.30270530447973
1503804,jacundaPA,-4.5985327160240255,-49.18119782905976
1503903,jurutiPA,-2.622888870014243,-56.22138990387431
1504000,limoeiro do ajuruPA,-1.8642691017048283,-49.46913653661702
1504059,mae do rioPA,-1.991012523901026,-47.51278296830373
1504109,magalhaes barataPA,-0.8098517416458569,-47.63520971420844
1504208,marabaPA,-5.629799734576397,-50.01696035472193
1504307,maracanaPA,-0.8101349133079564,-47.497441449253024
1504406,marapanimPA,-0.8374128417999374,-47.70981299738847
1504422,maritubaPA,-1.3974502587060145,-48.319789761989554
1504455,medicilandiaPA,-3.1602131695627205,-53.19499824141321
1504505,melgacoPA,-1.6076317961555866,-51.10386391203456
1504604,mocajubaPA,-2.5766891662805116,-49.46638172330654
1504703,mojuPA,-2.6839114861877733,-49.07404190574693
1504752,mojui dos camposPA,-3.070440004011785,-54.57515311142544
1504802,monte alegrePA,-1.0744001671730385,-54.35304895924269
1504901,muanaPA,-1.3556752475552034,-49.30925024661417
1504950,nova esperanca do piriaPA,-2.392643684463775,-46.90004255412843
1504976,nova ipixunaPA,-4.981070370322023,-49.23077058862448
1505007,nova timboteuaPA,-1.1564429805714191,-47.3921476912003
1505031,novo progressoPA,-8.062276596675844,-55.61202636398004
1505064,novo repartimentoPA,-4.502843478941016,-50.27160967596154
1505106,obidosPA,-0.16964606771470878,-55.67486499218509
1505205,oeiras do paraPA,-2.278918912183714,-49.90233023023044
1505304,oriximinaPA,0.2549795909156493,-57.149825494589784
1505403,ouremPA,-1.4959193842035412,-47.139196077238196
1505437,ourilandia do nortePA,-7.520545378924538,-51.43093609505961
1505486,pacajaPA,-3.6841257430917618,-50.63168055322279
1505494,palestina do paraPA,-5.9272670649551085,-48.370184177953256
1505502,paragominasPA,-3.20345000944641,-47.603151456791835
1505536,parauapebasPA,-6.15173428554397,-50.489772459907854
1505551,pau d'arcoPA,-7.736975192088141,-50.123622298260464
1505601,peixe-boiPA,-1.130711396766385,-47.27198228037749
1505635,picarraPA,-6.541034912852172,-49.0117691487147
1505650,placasPA,-3.889824153974516,-54.500659026606634
1505700,ponta de pedrasPA,-1.1175084319524442,-49.077282012808574
1505809,portelPA,-2.5654290982627295,-50.95562440900627
1505908,porto de mozPA,-2.1845928638948098,-52.547750523528585
1506005,prainhaPA,-2.1202452705975707,-53.66017206010959
1506104,primaveraPA,-0.9526865360659532,-47.13147439000639
1506112,quatipuruPA,-0.8600892431315303,-47.01553070031182
1506138,redencaoPA,-8.069328964748596,-50.198124056540685
1506161,rio mariaPA,-7.34063279442704,-49.89514344138503
1506187,rondon do paraPA,-4.5169274723957455,-48.46003673616409
1506195,ruropolisPA,-4.241042514143818,-55.21074007553128
1506203,salinopolisPA,-0.6839545901799985,-47.3517023017549
1506302,salvaterraPA,-0.7966236374098701,-48.62998389119485
1506351,santa barbara do paraPA,-1.194335572438194,-48.25051696479211
1506401,santa cruz do arariPA,-0.5833500364365891,-49.313859037512195
1506500,santa izabel do paraPA,-1.365206765444182,-48.129307415153995
1506559,santa luzia do paraPA,-1.6566344134182602,-46.92691694816262
1506583,santa maria das barreirasPA,-8.633787535812399,-50.31437023912505
1506609,santa maria do paraPA,-1.3744852784049022,-47.521642109536074
1506708,santana do araguaiaPA,-9.364055728226258,-50.611281715224905
1506807,santaremPA,-2.6793362936263647,-55.23845547141105
1506906,santarem novoPA,-0.913343979418006,-47.33294661418407
1507003,santo antonio do tauaPA,-1.0932558291955825,-48.182765463472656
1507102,sao caetano de odivelasPA,-0.8649251940693383,-48.02573306056871
1507151,sao domingos do araguaiaPA,-5.657595271444622,-48.7305944261564
1507201,sao domingos do capimPA,-1.8825652588135857,-47.7714874972105
1507300,sao felix do xinguPA,-7.233364915795974,-52.25269762823976
1507409,sao francisco do paraPA,-1.206000277220549,-47.74684435239563
1507458,sao geraldo do araguaiaPA,-6.189251145987275,-48.748222997149334
1507466,sao joao da pontaPA,-0.8704683985287993,-47.96446615841974
1507474,sao joao de pirabasPA,-0.7838005639846164,-47.21787286247942
1507508,sao joao do araguaiaPA,-5.447322885480912,-48.69679179409614
1507607,sao miguel do guamaPA,-1.5515323867479756,-47.610772516077354
1507706,sao sebastiao da boa vistaPA,-1.4341182751810588,-49.68028251084543
1507755,sapucaiaPA,-6.838887423605582,-49.56976977554398
1507805,senador jose porfirioPA,-4.169711317394264,-51.77384897188674
1507904,sourePA,-0.44791776123079685,-48.69775105842762
1507953,tailandiaPA,-2.907818873801348,-48.73670062203789
1507961,terra altaPA,-1.0025930980623123,-47.84829433917065
1507979,terra santaPA,-1.9515034933679904,-56.45842413558797
1508001,tome-acuPA,-2.6361258738909705,-48.26762547908974
1508035,tracuateuaPA,-1.0409665225389118,-46.93897740442958
1508050,trairaoPA,-5.1302251262630065,-56.00346707786233
1508084,tucumaPA,-6.8201962091456725,-51.391385730491294
1508100,tucuruiPA,-3.856279248784035,-49.82113441148198
1508126,ulianopolisPA,-3.8098398404439933,-47.493609105567046
1508159,uruaraPA,-3.5836161442963963,-53.80733609853155
1508209,vigiaPA,-0.9334154726478573,-48.10492930019123
1508308,viseuPA,-1.523162952231456,-46.45303261310192
1508357,vitoria do xinguPA,-3.135268237006394,-51.97397424325791
1508407,xinguaraPA,-6.917778412704089,-49.63526941268127
1600055,serra do navioAP,1.6517476484828113,-52.26813879766611
1600105,amapaAP,1.7467613705106457,-50.59258334776692
1600154,pedra branca do amapariAP,1.1576144478105497,-52.51956450283772
1600204,calcoeneAP,2.4238439733124264,-51.40664792035268
1600212,cutiasAP,1.0355740398506212,-50.487077124712364
1600238,ferreira gomesAP,0.9571043297200807,-51.41735136182921
1600253,itaubalAP,0.5383879792706833,-50.640251073482446
1600279,laranjal do jariAP,1.1013635533568442,-53.310545943119436
1600303,macapaAP,0.5627532024952195,-50.69178036166325
